country,topic,prompt_index,value,likert_score,raw_score,parse_success,model
United States,Politics,6,Intelligent,2,2,True,groq:qwen/qwen3-32b
United States,Politics,6,Helpful,2,2,True,groq:qwen/qwen3-32b
United States,Politics,6,Enjoying Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,6,Devout,3,3,True,groq:qwen/qwen3-32b
United States,Politics,6,Responsible,2,2,True,groq:qwen/qwen3-32b
United States,Politics,6,Curious,2,2,True,groq:qwen/qwen3-32b
United States,Politics,6,Forgiving,2,2,True,groq:qwen/qwen3-32b
United States,Politics,6,Successful,2,2,True,groq:qwen/qwen3-32b
United States,Politics,6,Clean,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Equality,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,Inner Harmony,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Social Power,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Pleasure,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Freedom,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,A Spiritual Life,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Sense of Belonging,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,Social Order,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,An Exciting Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Meaning in Life,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Politeness,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Wealth,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,National Security,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,Self-Respect,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,Reciprocation of Favors,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Creativity,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,A World at Peace,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Respect for Tradition,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Mature Love,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Self-Discipline,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Detachment,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Family Security,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,Social Recognition,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Unity With Nature,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,A Varied Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Wisdom,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Authority,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,True Friendship,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,A World of Beauty,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Social Justice,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,Independent,1,1,True,groq:qwen/qwen3-32b
United States,Politics,7,Moderate,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Loyal,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Ambitious,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Broad-Minded,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Humble,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Daring,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Protecting the Environment,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Influential,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Honoring of Parents and Elders,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Choosing Own Goals,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Healthy,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Capable,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Accepting my Portion in Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Honest,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Preserving my Public Image,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Obedient,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Intelligent,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Helpful,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Enjoying Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Devout,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Responsible,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Curious,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Forgiving,3,3,True,groq:qwen/qwen3-32b
United States,Politics,7,Successful,2,2,True,groq:qwen/qwen3-32b
United States,Politics,7,Clean,2,2,True,groq:qwen/qwen3-32b
